table_number,time_slot_0,time_slot_1,time_slot_2,time_slot_3,time_slot_4
1,"Man Without a Face, The","Man Without a Face, The","Man Without a Face, The","Man Without a Face, The","Man Without a Face, The"
2,"Boy with Green Hair, The",Charlie Brown's Christmas Tales,Power/Rangers,Heart of America,Molokai (Molokai: The Story of Father Damien)
3,Something Wild,Something Wild,V: The Final Battle,Moonlight Serenade,Invitation to the Dance
4,The Great Kidnapping,A Master Builder,Something Wild,"Swordsman II (Legend of the Swordsman, The) (Xiao ao jiang hu zhi: Dong Fang Bu Bai)",Firestorm
5,Seize the Day,Albino Farm,Captain America: The Winter Soldier,Condorman,Space Odyssey: Voyage to the Planets
6,Super Duper Alice Cooper,Moonlight Serenade,Wrong Is Right (a.k.a. The Man With the Deadly Lens),Moonlight Serenade,"Fourth Kind, The"
7,Genghis Blues,"Naked Face, The","Living Desert, The",Stuart Saves His Family,Garage Olimpo
8,Lore,Whisky,"Message from Akira Kurosawa: For Beautiful Movies, A (Kurosawa Akira kara no messêji: Utsukushii eiga o)","Fourth Kind, The","Jolly Boys' Last Stand, The"
9,Charlie: The Life and Art of Charles Chaplin,A Master Builder,"Swordsman II (Legend of the Swordsman, The) (Xiao ao jiang hu zhi: Dong Fang Bu Bai)",Wrong Is Right (a.k.a. The Man With the Deadly Lens),Who Am I? (Wo shi shei)
10,Horror Business,Li'l Abner,Don's Plum,"Ghidorah, the Three-Headed Monster (San daikaijû: Chikyû saidai no kessen)","Jolly Boys' Last Stand, The"
11,Charlie: The Life and Art of Charles Chaplin,Billy Liar,A Grain of Truth,"Hunchback of Notre Dame, The",Sandor slash Ida
12,Summer of '42,"Hunchback of Notre Dame, The",Anna and the King of Siam,"Jolly Boys' Last Stand, The",Isle of the Dead
13,"Ivan the Terrible, Part One (Ivan Groznyy I)",Vääpeli Körmy ja kahtesti laukeava,Magnolia,"Mystic Masseur, The","3 Worlds of Gulliver, The"
14,"Fourth Kind, The",Rage of Angels,Li'l Abner,A Master Builder,Don's Plum
15,"Rapture, The",Three Kings,Sandor slash Ida,Heart of America,"Jolly Boys' Last Stand, The"
16,Hobo with a Shotgun,Genghis Blues,"3 Worlds of Gulliver, The","Power of Kangwon Province, The (Kangwon-do ui him)",Isle of the Dead
17,Gardenia,Enter the Void,Puppet Master,A Master Builder,"Two Jakes, The"
18,Anna and the King of Siam,Something Wild,Power/Rangers,Puppet Master,Condorman
19,Invitation to the Dance,Three Kings,Make the Yuletide Gay,Ride Beyond Vengeance,Moonlight Serenade
20,Enter the Void,Interrogation (Przesluchanie),Hobo with a Shotgun,Li'l Abner,Firestorm
21,That Championship Season,"Mystic Masseur, The",That Championship Season,Anna and the King of Siam,Bad Johnson
22,Ghost Rider: Spirit of Vengeance,"Hot Spot, The",Horror Business,Stuart Saves His Family,Vääpeli Körmy ja kahtesti laukeava
23,Interrogation (Przesluchanie),Whisky,"Ambushers, The",Charlie: The Life and Art of Charles Chaplin,A Grain of Truth
24,Scenes from the Class Struggle in Beverly Hills,"Fourth Kind, The","Jolly Boys' Last Stand, The",Scenes from the Class Struggle in Beverly Hills,Space Odyssey: Voyage to the Planets
25,Ghost Rider: Spirit of Vengeance,Neath the Arizona Skies,Even Money,Death of a Salesman,Eggs
